=============================================
P(G):
=============================================
2 0.028005
3 0.002218
4 0.011513
5 0.024799
8 0.011170
9 0.003911
10 0.047018
12 0.285939
13 0.000484
14 0.003528
15 0.188959
17 0.056514
20 0.008529
21 0.071616
38 0.213880
1235 0.041917


=============================================
P(chroma_stft_mean_01 | G):
13 48 0.000000
13 49 0.000000
13 50 0.000000
13 51 0.000000
13 52 0.000000
13 53 0.000000
13 54 0.000000
13 55 0.083333
13 56 0.041667
13 57 0.000000
13 58 0.000000
13 59 0.000000
13 60 0.000000
13 61 0.000000
13 62 0.000000
13 63 0.000000
13 64 0.041667
13 65 0.000000
13 66 0.000000
13 67 0.000000
13 68 0.083333
13 69 0.000000
13 70 0.000000
13 71 0.083333
13 72 0.000000
13 73 0.000000
13 74 0.000000
13 75 0.000000
13 76 0.000000
13 77 0.000000
13 78 0.125000
13 79 0.041667
13 80 0.000000
13 81 0.041667
13 82 0.000000
13 83 0.041667
13 84 0.000000
13 85 0.000000
13 86 0.000000
13 87 0.000000
13 88 0.041667
13 89 0.000000
13 90 0.000000
13 91 0.000000
13 92 0.000000
13 93 0.000000
13 94 0.000000
13 95 0.000000
13 96 0.000000
13 97 0.000000
13 98 0.000000
13 99 0.000000
14 0 0.000000
14 1 0.000000
14 2 0.000000
14 3 0.000000
14 4 0.000000
14 5 0.005714
14 6 0.000000
14 7 0.000000
14 8 0.000000
14 9 0.000000
14 10 0.017143
14 11 0.005714
14 12 0.011429
14 13 0.000000
14 14 0.011429
14 15 0.005714
14 16 0.005714
14 17 0.005714
14 18 0.000000
14 19 0.005714
14 20 0.005714
14 21 0.011429
14 22 0.000000
14 23 0.005714
14 24 0.005714
14 25 0.011429
14 26 0.011429
14 27 0.000000
14 28 0.011429
14 29 0.000000
14 30 0.028571
14 31 0.017143
14 32 0.005714
14 33 0.005714
14 34 0.000000
14 35 0.005714
14 36 0.028571
14 37 0.022857
14 38 0.017143
14 39 0.011429
14 40 0.005714
14 41 0.005714
14 42 0.022857
14 43 0.022857
14 44 0.028571
14 45 0.022857
14 46 0.000000
14 47 0.022857
14 48 0.011429
14 49 0.011429
14 50 0.011429
14 51 0.011429
14 52 0.022857
14 53 0.011429
14 54 0.011429
14 55 0.011429
14 56 0.011429
14 57 0.011429
14 58 0.017143
14 59 0.017143
14 60 0.022857
14 61 0.005714
14 62 0.011429
14 63 0.017143
14 64 0.017143
14 65 0.005714
14 66 0.017143
14 67 0.005714
14 68 0.005714
14 69 0.011429
14 70 0.034286
14 71 0.011429
14 72 0.005714
14 73 0.017143
14 74 0.011429
14 75 0.011429
14 76 0.005714
14 77 0.017143
14 78 0.017143
14 79 0.011429
14 80 0.005714
14 81 0.034286
14 82 0.005714
14 83 0.011429
14 84 0.011429
14 85 0.022857
14 86 0.011429
14 87 0.000000
14 88 0.005714
14 89 0.000000
14 90 0.005714
14 91 0.005714
14 92 0.017143
14 93 0.000000
14 94 0.005714
14 95 0.000000
14 96 0.005714
14 97 0.005714
14 98 0.005714
14 99 0.005714
15 0 0.011417
15 1 0.010777
15 2 0.009390
15 3 0.010990
15 4 0.009390
15 5 0.011950
15 6 0.010777
15 7 0.011204
15 8 0.010563
15 9 0.009710
15 10 0.011204
15 11 0.011417
15 12 0.012697
15 13 0.010457
15 14 0.008749
15 15 0.011204
15 16 0.011737
15 17 0.009816
15 18 0.010563
15 19 0.011844
15 20 0.010883
15 21 0.012377
15 22 0.009176
15 23 0.011844
15 24 0.008963
15 25 0.009603
15 26 0.011097
15 27 0.010243
15 28 0.012164
15 29 0.008963
15 30 0.011417
15 31 0.009070
15 32 0.010243
15 33 0.009816
15 34 0.009496
15 35 0.012271
15 36 0.009603
15 37 0.010243
15 38 0.011844
15 39 0.011844
15 40 0.010030
15 41 0.009923
15 42 0.012697
15 43 0.011737
15 44 0.009816
15 45 0.010457
15 46 0.010243
15 47 0.012377
15 48 0.009283
15 49 0.009816
15 50 0.010777
15 51 0.011310
15 52 0.009390
15 53 0.010350
15 54 0.011097
15 55 0.010030
15 56 0.010350
15 57 0.008643
15 58 0.010030
15 59 0.011950
15 60 0.010243
15 61 0.009390
15 62 0.009283
15 63 0.010563
15 64 0.010137
15 65 0.008216
15 66 0.010563
15 67 0.009816
15 68 0.010777
15 69 0.009923
15 70 0.009923
15 71 0.008856
15 72 0.010457
15 73 0.010030
15 74 0.008429
15 75 0.009603
15 76 0.010243
15 77 0.009496
15 78 0.010670
15 79 0.010137
15 80 0.009070
15 81 0.007789
15 82 0.010137
15 83 0.008003
15 84 0.010030
15 85 0.007789
15 86 0.008536
15 87 0.008429
15 88 0.010030
15 89 0.008963
15 90 0.008749
15 91 0.008429
15 92 0.007896
15 93 0.007576
15 94 0.010457
15 95 0.008536
15 96 0.006402
15 97 0.006509
15 98 0.006295
15 99 0.006295
17 0 0.007492
17 1 0.006422
17 2 0.011773
17 3 0.010346
17 4 0.010346
17 5 0.010703
17 6 0.009633
17 7 0.009633
17 8 0.011773
17 9 0.007492
17 10 0.011416
17 11 0.010346
17 12 0.011060
17 13 0.011060
17 14 0.009633
17 15 0.007849
17 16 0.008562
17 17 0.008562
17 18 0.006778
17 19 0.011416
17 20 0.011060
17 21 0.005708
17 22 0.009276
17 23 0.012130
17 24 0.012130
17 25 0.006778
17 26 0.007849
17 27 0.006778
17 28 0.006422
17 29 0.008919
17 30 0.006065
17 31 0.004281
17 32 0.008205
17 33 0.007492
17 34 0.007492
17 35 0.003924
17 36 0.004995
17 37 0.009276
17 38 0.010346
17 39 0.006065
17 40 0.008205
17 41 0.009989
17 42 0.007492
17 43 0.007135
17 44 0.007492
17 45 0.007849
17 46 0.004281
17 47 0.007135
17 48 0.006422
17 49 0.006778
17 50 0.009989
17 51 0.007135
17 52 0.006778
17 53 0.007135
17 54 0.007492
17 55 0.010703
17 56 0.008205
17 57 0.007492
17 58 0.011416
17 59 0.011060
17 60 0.008562
17 61 0.005708
17 62 0.009276
17 63 0.008919
17 64 0.009989
17 65 0.008205
17 66 0.006778
17 67 0.011416
17 68 0.007135
17 69 0.010346
17 70 0.009633
17 71 0.009633
17 72 0.008919
17 73 0.009989
17 74 0.009276
17 75 0.011416
17 76 0.012487
17 77 0.008919
17 78 0.007492
17 79 0.014627
17 80 0.012130
17 81 0.012487
17 82 0.011773
17 83 0.011773
17 84 0.009633
17 85 0.010703
17 86 0.016768
17 87 0.017481
17 88 0.013200
17 89 0.014984
17 90 0.012843
17 91 0.018908
17 92 0.018552
17 93 0.015341
17 94 0.019979
17 95 0.016411
17 96 0.024260
17 97 0.015341
17 98 0.014984
17 99 0.016054
20 0 0.007092
20 1 0.000000
20 2 0.000000
20 3 0.023641
20 4 0.004728
20 5 0.000000
20 6 0.004728
20 7 0.002364
20 8 0.000000
20 9 0.000000
20 10 0.000000
20 11 0.002364
20 12 0.004728
20 13 0.002364
20 14 0.004728
20 15 0.000000
20 16 0.000000
20 17 0.002364
20 18 0.004728
20 19 0.007092
20 20 0.004728
20 21 0.002364
20 22 0.004728
20 23 0.004728
20 24 0.002364
20 25 0.002364
20 26 0.004728
20 27 0.007092
20 28 0.007092
20 29 0.002364
20 30 0.009456
20 31 0.011820
20 32 0.004728
20 33 0.011820
20 34 0.014184
20 35 0.011820
20 36 0.007092
20 37 0.000000
20 38 0.007092
20 39 0.009456
20 40 0.007092
20 41 0.009456
20 42 0.009456
20 43 0.014184
20 44 0.004728
20 45 0.018913
20 46 0.002364
20 47 0.007092
20 48 0.018913
20 49 0.014184
20 50 0.021277
20 51 0.011820
20 52 0.009456
20 53 0.021277
20 54 0.023641
20 55 0.007092
20 56 0.026005
20 57 0.016548
20 58 0.016548
20 59 0.021277
20 60 0.026005
20 61 0.021277
20 62 0.018913
20 63 0.023641
20 64 0.007092
20 65 0.007092
20 66 0.021277
20 67 0.021277
20 68 0.021277
20 69 0.018913
20 70 0.014184
20 71 0.026005
20 72 0.018913
20 73 0.030733
20 74 0.018913
20 75 0.023641
20 76 0.030733
20 77 0.009456
20 78 0.011820
20 79 0.021277
20 80 0.009456
20 81 0.016548
20 82 0.009456
20 83 0.002364
20 84 0.014184
20 85 0.004728
20 86 0.018913
20 87 0.009456
20 88 0.009456
20 89 0.007092
20 90 0.002364
20 91 0.004728
20 92 0.002364
20 93 0.000000
20 94 0.002364
20 95 0.004728
20 96 0.000000
20 97 0.004728
20 98 0.002364
20 99 0.000000
21 0 0.000845
21 1 0.002252
21 2 0.001689
21 3 0.002815
21 4 0.003941
21 5 0.003097
21 6 0.004505
21 7 0.007320
21 8 0.004223
21 9 0.004786
21 10 0.005349
21 11 0.004786
21 12 0.005631
21 13 0.006475
21 14 0.007320
21 15 0.006757
21 16 0.007883
21 17 0.004786
21 18 0.007601
21 19 0.007883
21 20 0.007320
21 21 0.008164
21 22 0.007320
21 23 0.008446
21 24 0.010980
21 25 0.009572
21 26 0.010980
21 27 0.011261
21 28 0.011824
21 29 0.011543
21 30 0.007883
21 31 0.011261
21 32 0.011261
21 33 0.012669
21 34 0.008727
21 35 0.015766
21 36 0.012106
21 37 0.014358
21 38 0.013795
21 39 0.014358
21 40 0.012950
21 41 0.012106
21 42 0.012950
21 43 0.012669
21 44 0.015203
21 45 0.013795
21 46 0.019426
21 47 0.013514
21 48 0.013795
21 49 0.011543
21 50 0.018300
21 51 0.016610
21 52 0.014077
21 53 0.014921
21 54 0.013795
21 55 0.013514
21 56 0.015203
21 57 0.012950
21 58 0.016047
21 59 0.012106
21 60 0.012950
21 61 0.010135
21 62 0.014921
21 63 0.014358
21 64 0.014077
21 65 0.016047
21 66 0.013514
21 67 0.014921
21 68 0.016047
21 69 0.014077
21 70 0.018300
21 71 0.015203
21 72 0.009854
21 73 0.013795
21 74 0.014640
21 75 0.010980
21 76 0.012669
21 77 0.015203
21 78 0.010980
21 79 0.014358
21 80 0.009572
21 81 0.007038
21 82 0.010698
21 83 0.009572
21 84 0.007601
21 85 0.007038
21 86 0.008727
21 87 0.006194
21 88 0.008164
21 89 0.007601
21 90 0.006757
21 91 0.004786
21 92 0.004223
21 93 0.004786
21 94 0.003378
21 95 0.003660
21 96 0.003378
21 97 0.001689
21 98 0.001689
21 99 0.001408
38 0 0.016497
38 1 0.018005
38 2 0.009804
38 3 0.012066
38 4 0.011972
38 5 0.009333
38 6 0.010275
38 7 0.010370
38 8 0.009050
38 9 0.008296
38 10 0.009615
38 11 0.010464
38 12 0.011595
38 13 0.008484
38 14 0.008673
38 15 0.008107
38 16 0.008390
38 17 0.010087
38 18 0.007259
38 19 0.009898
38 20 0.008861
38 21 0.008296
38 22 0.010747
38 23 0.009144
38 24 0.007447
38 25 0.009238
38 26 0.009050
38 27 0.011029
38 28 0.009615
38 29 0.007636
38 30 0.010275
38 31 0.007353
38 32 0.009238
38 33 0.008578
38 34 0.008013
38 35 0.009521
38 36 0.010275
38 37 0.009050
38 38 0.009144
38 39 0.010370
38 40 0.008956
38 41 0.009427
38 42 0.008107
38 43 0.009427
38 44 0.010370
38 45 0.009898
38 46 0.008484
38 47 0.009427
38 48 0.010464
38 49 0.008767
38 50 0.010275
38 51 0.010935
38 52 0.010935
38 53 0.009992
38 54 0.011784
38 55 0.009992
38 56 0.010841
38 57 0.010181
38 58 0.009144
38 59 0.010841
38 60 0.010181
38 61 0.012726
38 62 0.010181
38 63 0.009521
38 64 0.009333
38 65 0.011029
38 66 0.009521
38 67 0.010935
38 68 0.010747
38 69 0.009144
38 70 0.010747
38 71 0.009615
38 72 0.012349
38 73 0.009710
38 74 0.009898
38 75 0.011406
38 76 0.010181
38 77 0.010935
38 78 0.009238
38 79 0.010841
38 80 0.011595
38 81 0.010087
38 82 0.011029
38 83 0.012161
38 84 0.012349
38 85 0.010087
38 86 0.008578
38 87 0.009144
38 88 0.009333
38 89 0.008767
38 90 0.010841
38 91 0.009333
38 92 0.009427
38 93 0.010087
38 94 0.010935
38 95 0.009144
38 96 0.008390
38 97 0.011218
38 98 0.009144
38 99 0.010747
1235 0 0.027417
1235 1 0.023088
1235 2 0.021164
1235 3 0.012025
1235 4 0.015392
1235 5 0.012506
1235 6 0.010582
1235 7 0.008658
1235 8 0.011063
1235 9 0.013949
1235 10 0.009139
1235 11 0.011063
1235 12 0.011063
1235 13 0.007696
1235 14 0.007215
1235 15 0.012025
1235 16 0.007215
1235 17 0.006253
1235 18 0.007696
1235 19 0.009620
1235 20 0.008177
1235 21 0.012506
1235 22 0.007696
1235 23 0.011063
1235 24 0.006253
1235 25 0.008658
1235 26 0.008177
1235 27 0.009139
1235 28 0.008658
1235 29 0.008177
1235 30 0.006253
1235 31 0.011544
1235 32 0.007215
1235 33 0.006253
1235 34 0.007696
1235 35 0.005772
1235 36 0.010582
1235 37 0.009139
1235 38 0.006253
1235 39 0.006253
1235 40 0.006734
1235 41 0.008658
1235 42 0.004810
1235 43 0.004329
1235 44 0.003367
1235 45 0.009139
1235 46 0.010101
1235 47 0.004329
1235 48 0.008658
1235 49 0.007696
1235 50 0.005772
1235 51 0.004810
1235 52 0.007696
1235 53 0.005291
1235 54 0.009620
1235 55 0.007215
1235 56 0.007215
1235 57 0.009139
1235 58 0.009139
1235 59 0.007696
1235 60 0.004810
1235 61 0.006734
1235 62 0.008177
1235 63 0.007215
1235 64 0.006253
1235 65 0.008658
1235 66 0.009139
1235 67 0.009139
1235 68 0.009620
1235 69 0.004810
1235 70 0.010101
1235 71 0.005772
1235 72 0.010582
1235 73 0.010101
1235 74 0.006734
1235 75 0.013468
1235 76 0.010101
1235 77 0.008658
1235 78 0.011063
1235 79 0.010582
1235 80 0.011544
1235 81 0.008177
1235 82 0.014911
1235 83 0.012987
1235 84 0.010101
1235 85 0.010101
1235 86 0.012987
1235 87 0.012987
1235 88 0.012025
1235 89 0.010582
1235 90 0.011063
1235 91 0.012506
1235 92 0.008658
1235 93 0.012506
1235 94 0.016835
1235 95 0.014430
1235 96 0.019240
1235 97 0.023088
1235 98 0.021164
1235 99 0.020683

=============================================
P(chroma_stft_std_04 | G):
=============================================
2 0 0.007199
2 1 0.005760
2 2 0.008639
2 3 0.007199
2 4 0.012959
2 5 0.006479
2 6 0.009359
2 7 0.011519
2 8 0.007199
2 9 0.011519
2 10 0.004320
2 11 0.010799
2 12 0.011519
2 13 0.012239
2 14 0.007919
2 15 0.013679
2 16 0.010799
2 17 0.006479
2 18 0.003600
2 19 0.011519
2 20 0.009359
2 21 0.010079
2 22 0.015119
2 23 0.009359
2 24 0.007919
2 25 0.010079
2 26 0.009359
2 27 0.010799
2 28 0.006479
2 29 0.010799
2 30 0.008639
2 31 0.010799
2 32 0.012959
2 33 0.005040
2 34 0.007199
2 35 0.010799
2 36 0.010799
2 37 0.010799
2 38 0.007199
2 39 0.011519
2 40 0.008639
2 41 0.011519
2 42 0.007199
2 43 0.012959
2 44 0.010799
2 45 0.006479
2 46 0.010079
2 47 0.011519
2 48 0.011519
2 49 0.010799
2 50 0.008639
2 51 0.015119
2 52 0.012959
2 53 0.009359
2 54 0.010079
2 55 0.009359
2 56 0.007199
2 57 0.008639
2 58 0.012239
2 59 0.010799
2 60 0.010799
2 61 0.010799
2 62 0.013679
2 63 0.008639
2 64 0.012959
2 65 0.012239
2 66 0.010799
2 67 0.012959
2 68 0.017279
2 69 0.010799
2 70 0.006479
2 71 0.011519
2 72 0.008639
2 73 0.006479
2 74 0.010079
2 75 0.010799
2 76 0.012239
2 77 0.018719
2 78 0.009359
2 79 0.010799
2 80 0.009359
2 81 0.010799
2 82 0.014399
2 83 0.010079
2 84 0.007919
2 85 0.010079
2 86 0.004320
2 87 0.009359
2 88 0.010079
2 89 0.012959
2 90 0.007919
2 91 0.007919
2 92 0.006479
2 93 0.010799
2 94 0.010799
2 95 0.007919
2 96 0.010799
2 97 0.009359
2 98 0.012239
2 99 0.008639
3 0 0.000000
3 1 0.009091
3 2 0.009091
3 3 0.000000
3 4 0.000000
3 5 0.000000
3 6 0.000000
3 7 0.018182
3 8 0.000000
3 9 0.000000
3 10 0.009091
3 11 0.000000
3 12 0.000000
3 13 0.000000
3 14 0.000000
3 15 0.009091
3 16 0.009091
3 17 0.000000
3 18 0.018182
3 19 0.018182
3 20 0.009091
3 21 0.009091
3 22 0.018182
3 23 0.000000
3 24 0.000000
3 25 0.027273
3 26 0.000000
3 27 0.009091
3 28 0.018182
3 29 0.000000
3 30 0.009091
3 31 0.009091
3 32 0.000000
3 33 0.018182
3 34 0.027273
3 35 0.000000
3 36 0.000000
3 37 0.000000
3 38 0.018182
3 39 0.018182
3 40 0.009091
3 41 0.000000
3 42 0.000000
3 43 0.009091
3 44 0.009091
3 45 0.009091
3 46 0.018182
3 47 0.000000
3 48 0.027273
3 49 0.018182
3 50 0.027273
3 51 0.009091
3 52 0.009091
3 53 0.009091
3 54 0.027273
3 55 0.009091
3 56 0.027273
3 57 0.000000
3 58 0.018182
3 59 0.018182
3 60 0.027273
3 61 0.018182
3 62 0.009091
3 63 0.000000
3 64 0.018182
3 65 0.000000
3 66 0.009091
3 67 0.000000
3 68 0.009091
3 69 0.027273
3 70 0.000000
3 71 0.027273
3 72 0.000000
3 73 0.018182
3 74 0.000000
3 75 0.018182
3 76 0.009091
3 77 0.036364
3 78 0.000000
3 79 0.000000
3 80 0.018182
3 81 0.009091
3 82 0.009091
3 83 0.000000
3 84 0.000000
3 85 0.036364
3 86 0.027273
3 87 0.009091
3 88 0.000000
3 89 0.000000
3 90 0.027273
3 91 0.009091
3 92 0.027273
3 93 0.009091
3 94 0.000000
3 95 0.000000
3 96 0.036364
3 97 0.000000
3 98 0.009091
3 99 0.000000
4 0 0.005254
4 1 0.000000
4 2 0.003503
4 3 0.003503
4 4 0.001751
4 5 0.003503
4 6 0.001751
4 7 0.005254
4 8 0.000000
4 9 0.001751
4 10 0.007005
4 11 0.008757
4 12 0.001751
4 13 0.003503
4 14 0.008757
4 15 0.008757
4 16 0.005254
4 17 0.007005
4 18 0.007005
4 19 0.003503
4 20 0.005254
4 21 0.000000
4 22 0.001751
4 23 0.001751
4 24 0.007005
4 25 0.012259
4 26 0.003503
4 27 0.005254
4 28 0.003503
4 29 0.003503
4 30 0.003503
4 31 0.005254
4 32 0.001751
4 33 0.007005
4 34 0.000000
4 35 0.007005
4 36 0.007005
4 37 0.001751
4 38 0.005254
4 39 0.005254
4 40 0.005254
4 41 0.003503
4 42 0.008757
4 43 0.007005
4 44 0.008757
4 45 0.003503
4 46 0.012259
4 47 0.007005
4 48 0.015762
4 49 0.017513
4 50 0.005254
4 51 0.007005
4 52 0.008757
4 53 0.010508
4 54 0.007005
4 55 0.007005
4 56 0.007005
4 57 0.008757
4 58 0.019264
4 59 0.015762
4 60 0.001751
4 61 0.007005
4 62 0.017513
4 63 0.012259
4 64 0.017513
4 65 0.012259
4 66 0.017513
4 67 0.017513
4 68 0.012259
4 69 0.008757
4 70 0.008757
4 71 0.010508
4 72 0.005254
4 73 0.015762
4 74 0.014011
4 75 0.017513
4 76 0.012259
4 77 0.008757
4 78 0.012259
4 79 0.019264
4 80 0.008757
4 81 0.015762
4 82 0.022767
4 83 0.017513
4 84 0.026270
4 85 0.019264
4 86 0.028021
4 87 0.033275
4 88 0.028021
4 89 0.021016
4 90 0.017513
4 91 0.019264
4 92 0.017513
4 93 0.029772
4 94 0.015762
4 95 0.015762
4 96 0.012259
4 97 0.021016
4 98 0.010508
4 99 0.010508
5 0 0.007317
5 1 0.010569
5 2 0.008943
5 3 0.013008
5 4 0.005691
5 5 0.012195
5 6 0.010569
5 7 0.006504
5 8 0.010569
5 9 0.004878
5 10 0.007317
5 11 0.009756
5 12 0.010569
5 13 0.009756
5 14 0.010569
5 15 0.009756
5 16 0.006504
5 17 0.007317
5 18 0.007317
5 19 0.010569
5 20 0.001626
5 21 0.006504
5 22 0.006504
5 23 0.002439
5 24 0.007317
5 25 0.004065
5 26 0.004065
5 27 0.004065
5 28 0.004065
5 29 0.004878
5 30 0.005691
5 31 0.008943
5 32 0.008943
5 33 0.008943
5 34 0.004878
5 35 0.002439
5 36 0.005691
5 37 0.005691
5 38 0.004065
5 39 0.003252
5 40 0.007317
5 41 0.004065
5 42 0.004878
5 43 0.007317
5 44 0.003252
5 45 0.005691
5 46 0.008943
5 47 0.004878
5 48 0.008130
5 49 0.006504
5 50 0.004878
5 51 0.003252
5 52 0.009756
5 53 0.006504
5 54 0.002439
5 55 0.009756
5 56 0.008130
5 57 0.006504
5 58 0.008943
5 59 0.007317
5 60 0.006504
5 61 0.007317
5 62 0.004065
5 63 0.007317
5 64 0.005691
5 65 0.008130
5 66 0.013008
5 67 0.006504
5 68 0.009756
5 69 0.007317
5 70 0.009756
5 71 0.008130
5 72 0.006504
5 73 0.011382
5 74 0.004065
5 75 0.010569
5 76 0.010569
5 77 0.008943
5 78 0.010569
5 79 0.013008
5 80 0.012195
5 81 0.005691
5 82 0.008130
5 83 0.008943
5 84 0.016260
5 85 0.010569
5 86 0.008943
5 87 0.017073
5 88 0.015447
5 89 0.024390
5 90 0.017073
5 91 0.015447
5 92 0.021951
5 93 0.019512
5 94 0.026016
5 95 0.032520
5 96 0.032520
5 97 0.038211
5 98 0.037398
5 99 0.050407
8 0 0.010830
8 1 0.019856
8 2 0.014440
8 3 0.018051
8 4 0.014440
8 5 0.012635
8 6 0.010830
8 7 0.014440
8 8 0.005415
8 9 0.016245
8 10 0.009025
8 11 0.018051
8 12 0.003610
8 13 0.005415
8 14 0.005415
8 15 0.005415
8 16 0.007220
8 17 0.007220
8 18 0.003610
8 19 0.005415
8 20 0.010830
8 21 0.001805
8 22 0.007220
8 23 0.003610
8 24 0.007220
8 25 0.009025
8 26 0.005415
8 27 0.003610
8 28 0.007220
8 29 0.009025
8 30 0.009025
8 31 0.010830
8 32 0.007220
8 33 0.005415
8 34 0.007220
8 35 0.009025
8 36 0.007220
8 37 0.005415
8 38 0.010830
8 39 0.003610
8 40 0.005415
8 41 0.003610
8 42 0.014440
8 43 0.007220
8 44 0.012635
8 45 0.012635
8 46 0.009025
8 47 0.005415
8 48 0.005415
8 49 0.005415
8 50 0.005415
8 51 0.000000
8 52 0.010830
8 53 0.003610
8 54 0.007220
8 55 0.007220
8 56 0.005415
8 57 0.012635
8 58 0.007220
8 59 0.010830
8 60 0.007220
8 61 0.009025
8 62 0.001805
8 63 0.009025
8 64 0.001805
8 65 0.010830
8 66 0.007220
8 67 0.007220
8 68 0.010830
8 69 0.010830
8 70 0.005415
8 71 0.010830
8 72 0.010830
8 73 0.012635
8 74 0.009025
8 75 0.010830
8 76 0.012635
8 77 0.009025
8 78 0.005415
8 79 0.007220
8 80 0.007220
8 81 0.012635
8 82 0.010830
8 83 0.007220
8 84 0.023466
8 85 0.009025
8 86 0.012635
8 87 0.010830
8 88 0.014440
8 89 0.007220
8 90 0.014440
8 91 0.007220
8 92 0.009025
8 93 0.027076
8 94 0.014440
8 95 0.023466
8 96 0.028881
8 97 0.023466
8 98 0.039711
8 99 0.027076
9 0 0.000000
9 1 0.010309
9 2 0.015464
9 3 0.005155
9 4 0.005155
9 5 0.000000
9 6 0.015464
9 7 0.030928
9 8 0.005155
9 9 0.015464
9 10 0.010309
9 11 0.005155
9 12 0.010309
9 13 0.005155
9 14 0.015464
9 15 0.015464
9 16 0.000000
9 17 0.000000
9 18 0.030928
9 19 0.025773
9 20 0.015464
9 21 0.000000
9 22 0.000000
9 23 0.005155
9 24 0.015464
9 25 0.015464
9 26 0.025773
9 27 0.015464
9 28 0.005155
9 29 0.015464
9 30 0.020619
9 31 0.005155
9 32 0.010309
9 33 0.010309
9 34 0.036082
9 35 0.005155
9 36 0.020619
9 37 0.005155
9 38 0.010309
9 39 0.000000
9 40 0.005155
9 41 0.010309
9 42 0.000000
9 43 0.010309
9 44 0.005155
9 45 0.025773
9 46 0.030928
9 47 0.015464
9 48 0.020619
9 49 0.005155
9 50 0.010309
9 51 0.005155
9 52 0.010309
9 53 0.010309
9 54 0.015464
9 55 0.010309
9 56 0.010309
9 57 0.020619
9 58 0.015464
9 59 0.010309
9 60 0.010309
9 61 0.005155
9 62 0.005155
9 63 0.010309
9 64 0.025773
9 65 0.020619
9 66 0.020619
9 67 0.010309
9 68 0.010309
9 69 0.000000
9 70 0.005155
9 71 0.010309
9 72 0.005155
9 73 0.005155
9 74 0.005155
9 75 0.000000
9 76 0.000000
9 77 0.015464
9 78 0.010309
9 79 0.015464
9 80 0.015464
9 81 0.000000
9 82 0.000000
9 83 0.010309
9 84 0.005155
9 85 0.010309
9 86 0.000000
9 87 0.000000
9 88 0.000000
9 89 0.000000
9 90 0.005155
9 91 0.005155
9 92 0.010309
9 93 0.010309
9 94 0.005155
9 95 0.005155
9 96 0.005155
9 97 0.010309
9 98 0.005155
9 99 0.000000
10 0 0.011578
10 1 0.008576
10 2 0.008576
10 3 0.009005
10 4 0.011578
10 5 0.011149
10 6 0.006003
10 7 0.010720
10 8 0.012864
10 9 0.012007
10 10 0.010720
10 11 0.012864
10 12 0.010720
10 13 0.010292
10 14 0.005575
10 15 0.010720
10 16 0.012007
10 17 0.012436
10 18 0.009863
10 19 0.011149
10 20 0.008148
10 21 0.006861
10 22 0.010720
10 23 0.009434
10 24 0.008576
10 25 0.009005
10 26 0.007290
10 27 0.009434
10 28 0.012436
10 29 0.008576
10 30 0.005575
10 31 0.011149
10 32 0.012007
10 33 0.009005
10 34 0.010720
10 35 0.007719
10 36 0.007719
10 37 0.009005
10 38 0.012864
10 39 0.009005
10 40 0.009434
10 41 0.007719
10 42 0.009005
10 43 0.008148
10 44 0.010720
10 45 0.010292
10 46 0.010720
10 47 0.013293
10 48 0.009434
10 49 0.006861
10 50 0.011149
10 51 0.009434
10 52 0.009005
10 53 0.009005
10 54 0.015866
10 55 0.011578
10 56 0.009005
10 57 0.009005
10 58 0.005575
10 59 0.009434
10 60 0.007719
10 61 0.007290
10 62 0.010720
10 63 0.010720
10 64 0.016724
10 65 0.007290
10 66 0.008576
10 67 0.011578
10 68 0.012007
10 69 0.012007
10 70 0.014151
10 71 0.009434
10 72 0.011149
10 73 0.009863
10 74 0.009434
10 75 0.018868
10 76 0.009863
10 77 0.010292
10 78 0.008576
10 79 0.011149
10 80 0.007719
10 81 0.009863
10 82 0.011149
10 83 0.006003
10 84 0.012007
10 85 0.010720
10 86 0.009863
10 87 0.009434
10 88 0.009005
10 89 0.011149
10 90 0.010720
10 91 0.012007
10 92 0.009863
10 93 0.009863
10 94 0.008576
10 95 0.010292
10 96 0.009434
10 97 0.006861
10 98 0.012007
10 99 0.007719
12 0 0.001269
12 1 0.002891
12 2 0.003737
12 3 0.006346
12 4 0.006910
12 5 0.008602
12 6 0.009237
12 7 0.011705
12 8 0.011564
12 9 0.013045
12 10 0.011070
12 11 0.012551
12 12 0.012692
12 13 0.013679
12 14 0.015513
12 15 0.014032
12 16 0.013609
12 17 0.014102
12 18 0.014384
12 19 0.015654
12 20 0.016641
12 21 0.016429
12 22 0.014243
12 23 0.013891
12 24 0.015372
12 25 0.015583
12 26 0.014949
12 27 0.014243
12 28 0.016288
12 29 0.015795
12 30 0.015724
12 31 0.015795
12 32 0.013820
12 33 0.014949
12 34 0.015301
12 35 0.015865
12 36 0.013679
12 37 0.014808
12 38 0.014314
12 39 0.012974
12 40 0.012692
12 41 0.012974
12 42 0.013115
12 43 0.013115
12 44 0.012763
12 45 0.012128
12 46 0.013327
12 47 0.011705
12 48 0.011987
12 49 0.010929
12 50 0.011493
12 51 0.011000
12 52 0.010929
12 53 0.011352
12 54 0.010295
12 55 0.010436
12 56 0.009942
12 57 0.011352
12 58 0.010224
12 59 0.010295
12 60 0.010154
12 61 0.011775
12 62 0.011282
12 63 0.008532
12 64 0.009096
12 65 0.009237
12 66 0.008885
12 67 0.007615
12 68 0.009167
12 69 0.007968
12 70 0.007615
12 71 0.008391
